Date,TimeOfDay,Spot,BuyTrader,SellTrader
03/01/2022,09:32:05,99.96,3,0
03/01/2022,09:34:11,99.98,4,5
03/01/2022,09:34:29,99.97,4,5
03/01/2022,09:34:44,99.96,4,0
03/01/2022,09:39:02,99.88,3,1
03/01/2022,09:39:16,99.81,0,5
03/01/2022,09:39:27,99.8,3,2
03/01/2022,09:40:16,99.82,3,0
03/01/2022,09:40:45,99.85,4,5
03/01/2022,09:44:47,99.86,2,0
03/01/2022,09:45:41,99.87,5,0
03/01/2022,09:46:29,99.86,0,2
03/01/2022,09:46:37,99.85,5,2
03/01/2022,09:46:55,99.85,4,0
03/01/2022,09:46:59,99.86,4,0
03/01/2022,09:47:42,99.82,5,2
03/01/2022,09:47:47,99.83,5,2
03/01/2022,09:48:20,99.82,5,0
03/01/2022,09:50:56,99.75,5,0
03/01/2022,09:53:34,99.89,5,0
03/01/2022,09:55:18,99.88,4,0
03/01/2022,09:55:21,99.88,4,0
03/01/2022,09:56:07,99.83,0,5
03/01/2022,09:56:53,99.77,3,0
03/01/2022,09:57:35,99.78,5,0
03/01/2022,09:57:59,99.77,0,4
03/01/2022,09:58:19,99.72,0,4
03/01/2022,09:58:32,99.73,0,2
03/01/2022,09:59:02,99.75,0,2
03/01/2022,09:59:26,99.77,0,1
03/01/2022,10:00:24,99.8,0,5
03/01/2022,10:00:38,99.78,0,4
03/01/2022,10:01:01,99.75,2,1
03/01/2022,10:01:36,99.72,3,0
03/01/2022,10:02:09,99.73,2,0
03/01/2022,10:02:38,99.68,0,4
03/01/2022,10:04:16,99.71,2,0
03/01/2022,10:08:43,99.59,0,4
03/01/2022,10:10:36,99.6,0,2
03/01/2022,10:12:12,99.55,5,0
03/01/2022,10:12:28,99.52,5,0
03/01/2022,10:15:09,99.47,5,2
03/01/2022,10:15:26,99.47,0,4
03/01/2022,10:16:00,99.49,0,2
03/01/2022,10:16:36,99.53,3,0
03/01/2022,10:21:26,99.37,4,0
03/01/2022,10:21:34,99.37,4,0
03/01/2022,10:22:21,99.37,2,0
03/01/2022,10:22:31,99.36,1,5
03/01/2022,10:22:32,99.35,2,0
03/01/2022,10:22:42,99.35,4,0
